id,club_name,address,postcode,w3w,location,open_days,open_times,par,ratings,standard_price,guest_price,length_yards,avg_round_time,terrain,accessibility,parking_info,nearby_town,region,short_desc
1,Aberdour Golf Club,"Seaside Place, Aberdour",KY3 OTX,///dried.badge.veto,"56.051032,-3.299271",,,,,,25,,,,,,,,
2,Aboyne Golf Club,"Golf Road, Formaston Park, Aboyne",AB34 5HP,///decoder.carpentry.housework,"57.083967,-2.770188",,,,,,30,,,,,,,,
3,Airdrie Golf Club,"Glenmavis Road, Rochsoles, Airdrie",MLD OPQ,///consoled.constrain.junior,"55.87911,-3.991412",,,,,,25,,,,,,,,
4,Alloa Golf Club,"Alloa Golf Club, Sauchie, Alloa",FK10 3AX,///sigh.outsmart.sharp,"56.130835,-3.771511",,,,,,30,,,,,,,,
5,Alyth Golf Club,"Pitcrocknie, Perthshire",PH11 8HF,///washable.attends.topples,"56.621618,-3.205907",,,,,,25,,,,,,,,
6,Arbroath Golf Course,"Dundee Road, Elliot by Arbroath",DD11 2PE,///manage.diner.hiked,"56.537098,-2.630257",,,,,,30,,,,,,,,
7,Archerfield Links,"Golf Club House, Golf Green, Direlton, North Berwick",EH39 5HU,///vandalism.awakes.unique,"56.055452,-2.800671",,,,,,25,,,,,,,,
8,Auchterarder Golf Club,"Orchil Rd, Auchterarder, Perthshire",PH3 1LS,///airfields.kicks.revolting,"56.289686,-3.724189",,,,,,30,,,,,,,,
9,Auchterderran Golf Club,"Woodend Rd, Cardenden, Lochgelly",KY5 ONH,///stands.trumpet.undivided,"56.153178,-3.27185",,,,,,25,,,,,,,,
10,Baberton Golf Club,"55 Baberton Ave, Edinburgh",EH14 5DU,///grades.minus.vivid,"55.907139,-3.288852",,,,,,30,,,,,,,,
11,Balbirnie Park Golf Club,"A92, Markinch, Glenrothes",KY7 6NR,///rewrites.tulip.uptown,"56.211096,-3.146415",,,,,,30,,,,,,,,
12,Ballater Golf Club,"Victoria Rd, Ballater",AB35 5QX,///pacifist.trailer.openings,"57.045319,-3.044965",,,,,,30,,,,,,,,
13,Banchory Golf Club,"Kinneskie Road, Banchory",AB31 5TA,///station.folks.mimes,"57.050385,-2.507912",,,,,,30,,,,,,,,
14,Bathgate Golf Club,"Edinburgh Rd, Bathgate",EH48 1BA,///began.baseline.ditching,"55.897167,-3.640421",,,,,,30,,,,,,,,
15,Belleisle Golf Course,"Doonfoot Rd, Ayr ",KA9 4DU,///adopt.salt.vent,"55.440532,-4.637947",,,,,,30,,,,,,,,
16,Bishopbriggs Golf Range,"Bishopbriggs, Lanarkshire",G64 2PZ,///winter.direct.jars,"55.926463,-4.196074",,,,,,30,,,,,,,,
17,Blairgowrie Golf Club,"Golf Course Rd, Blairgowrie",PH10 6LG,///saga.swooning.grove,"56.573698,-3.3361",,,72,,70-100,30,6700,,parkland,,,perth,perthshire,Classic parkland in the hills of Perthshire
18,Boat of Garten Golf & Tennis Club,"Nethybridge Road, Boat of Garten",PH24 3BQ,///rejects.paper.forklift,"57.250175,-3.751023",,,,,,30,,,,,,,,
19,Bonnyton Golf Club,"Kirkton Moor Rd, Eaglesham, Glasgow",G76 0QA,///wage.across.curvy,"55.743545,-4.307447",,,,,,30,,,,,,,,
20,Bothwell Castle Golf Club,"Uddingston Rd, Bothwell, Glasgow",G71 8TD,///gross.guides.local,"55.810869,-4.080189",,,,,,30,,,,,,,,
21,Braehead Golf Club,"Alloa Rd, Alloa ",FK10 2NT,///argued.shots.clothed,"56.125229,-3.830454",,,,,,30,,,,,,,,
22,Brahan Golf Club,"Tollie of Brahan, Conon Bridge, Lochussie, Dingwall",IV7 8HQ,///copycat.marinated.blankets,"57.576609,-4.479116",,,,,,25,,,,,,,,
23,Braid Hills Golf Range,"91 Liberton Drive, Edinburgh",EH16 6NS,///urban.jaws.lodge,"55.913069,-3.17819",,,,,,30,,,,,,,,
24,Brechin Golf Club,"Brechin Golf Club, Trinity, Brechin",DD9 7PD,///imitate.tangling.transit,"56.747911,-2.649789",,,,,,25,,,,,,,,
25,Brighouse Bay Golf Centre,"Borgue, Kirkcudbright",DG6 4TS,///clock.magnitude.humidity,"54.804266,-4.105922",,,,,,30,,,,,,,,
26,Broomieknowe Golf Club,"36 Golf Course Rd, Bonnyrigg ",EH19 2HZ,///joins.latter.admire,"55.881455,-3.104816",,,,,,25,,,,,,,,
27,Brora Golf Club,"Golf Road, Brora, Sutherland",KW9 6QS,///garage.lotteries.protest,"58.012034,-3.846297",,,70,,50-70,30,6064,,Links,,,Golspie,Sutherland,Traditional links in stunning highland scenery
28,Bruntsfield Links Golf Society,"32 Barnton Ave, Edinburgh",EH4 6JH,///valley.expand.insist,"55.968076,-3.284264",,,,,,25,,,,,,,,
29,Buchanan Castle Golf Club,"Buchanan Castle Estate, Drymen, Glasgow",G63 OHX,///asterisk.admires.treaty,"56.067284,-4.480181",,,,,,30,,,,,,,,
30,Burntisland Golf Club,"Golf Club House Dodhead, Burntisland",KY3 9LQ,///growl.devoured.beards,"56.068308,-3.211979",,,,,,30,,,,,,,,
31,Caldwell Golf Club,"Lochlibo Rd, Glasgow",G78 4AU,///arts.genius.marinated,"55.763085,-4.507408",,,,,,30,,,,,,,,
32,Canmore Golf Club,"Venturefair Ave, Dunfermline",KY12 0PE,///driver.youth.code,"56.083535,-3.457149",,,,,,25,,,,,,,,
33,Cardross Golf Club,"Main Road, Cardross, Dumbarton",G82 5LB,///earplugs.joggers.probe,"55.961473,-4.648558",,,,,,30,,,,,,,,
34,Carluke Golf Club,"Mauldslie Rd, Hallcraig, Carluke",ML8 5HG,///snowmen.vineyard.bravery,"55.735621,-3.867409",,,,,,30,,,,,,,,
35,Carnegie Club,"Skibo Castle, Dornoch",IV25 3RQ,///hitters.daring.zinc,"57.873046,-4.132375",,,,,,25,,,,,,,,
36,Carnoustie Golf Links,"Links House, Links Parade, Carnoustie",DD7 7JE,///crisps.inhales.lecturers,"56.496267,-2.716271",,,,,,30,,,,,,,,
37,Carnwath Golf Club,"1 Main St, Carnwath, Lanark",ML11 8JX,///tadpole.cocktail.tilt,"55.700774,-3.631578",,,,,,25,,,,,,,,
38,Carrick on Loch Lomond,"Cameron House, Loch Lomond, West Dunbartonshire",G83 8QZ,///rush.handyman.twist,"56.013139,-4.60694",,,,,,30,,,,,,,,
39,Castle Stuart Golf Links,"Dalcross, Inverness",IV2 7JL,///payout.eyelashes.scarcely,"57.527989,-4.105848",,,,,,25,,,,,,,,
40,Cathcart Castle Golf Club,"Mearns Road, Clarkston, Glasgow",G76 7YL,///punk.slice.pace,"55.786694,-4.295095",,,,,,30,,,,,,,,
41,Cathkin Braes Golf Club,"Cathkin Rd, Rutherglen, Glasgow",G73 4SE,///ground.shins.splice,"55.798283,-4.208309",,,,,,25,,,,,,,,
42,Cawder Golf Club,"Cadder Rd, Glasgow ",G64 3QD,///spring.jokes.sang,"55.926868,-4.233261",,,,,,30,,,,,,,,
43,Clober Golf Club,"Craigton Rd, Milngavie, Glasgow",G62 7HP,///famous.strut.drum,"55.946165,-4.32777",,,,,,30,,,,,,,,
44,Clydebank & District Golf Club,"Glasgow Rd, Hardgate, Clydebank",G81 5QY,///marsh.affirming.director,"55.923445,-4.395255",,,,,,30,,,,,,,,
45,Clydeway Golf,"Blantyre Farm Rd, Uddingston, Glasgow",G71 7RR,///wrong.scary.deny,"55.827202,-4.105967",,,,,,30,,,,,,,,
46,Cochrane Castle Golf Club,"Scott Ave, Johnstone",PA5 0HF,///ambushes.smarting.ripples,"55.822135,-4.517209",,,,,,30,,,,,,,,
47,Colville Park Golf Club,"New Jerviston House, Merry St, Motherwell",ML1 4UG,///backfired.stoops.hazy,"55.800682,-3.981495",,,,,,30,,,,,,,,
48,Cowglen Golf Club,"301 Barrhead Rd, Glasgow",G43 1AU,///chin.racks.brave,"55.822054,-4.319388",,,,,,30,,,,,,,,
49,Craibstone Golf Club,"Bucksburn, Aberdeen",AB21 9SX,///sonic.marathon.bleaching,"57.183767,-2.224288",,,,,,30,,,,,,,,
50,Craigielaw Golf Club,"Craigielaw, Longniddry",EH32 0PY,///trout.shimmered.stages,"56.007641,-2.876326",,,,,,30,,,,,,,,
51,Craigmillar Park Golf Club,"1 Observatory Rd, Edinburgh",EH9 3HG,///pets.energetic.chimp,"55.924523,-3.182346",,,,,,30,,,,,,,,
52,Crail Golfing Society,"Balcomie Clubhouse, Crail, Anstruther",KY10 3XN,///woods.offline.overlaps,"56.280819,-2.59375",,,,,,30,,,,,,,,
53,Crieff Golf Club,"Ferntower Lodge, Perth Road, Crieff",PH7 3LR,///safest.debating.scrolled,"56.380134,-3.827315",,,,,,30,,,,,,,,
54,Crow Wood Golf Club,"Garnkirk House, Cumbernauld Rd, Chryston, Glasgow",G69 9JF,///pack.legal.jumps,"55.90059,-4.121512",,,,,,30,,,,,,,,
55,Cruden Bay Golf Club,"Aulton Rd, Cruden Bay, Peterhead",AB42 0NN,///royally.suspended.sorry,"57.408703,-1.86302",,,72,,90-130,30,6300,,Links,,,Peterhead,Aberdeenshire,Dramatic scenic course with dunes
56,Dalmahoy Golf & Country Club,"A71, Edinburgh, Kirknewton",EH27 8EB,///arranges.acids.bikes,"55.903528,-3.369539",,,,,,30,,,,,,,,
57,Dalmuir Golf Club,"2 Overtoun Dr, Clydebank",G81 3RE,///slimy.rocket.towers,"55.915117,-4.426602",,,,,,30,,,,,,,,
58,Deer Park Golf & Country Club,"Golf Course Rd,  Deans, Livingston",EH54 8AB,///tubes.factories.launch,"55.912503,-3.533608",,,,,,30,,,,,,,,
59,Deeside Golf Club,"Golf Rd, Bielside, Aberdeen",AB15 9DL,///ally.cages.sugars,"57.111807,-2.190281",,,,,,30,,,,,,,,
60,Douglas Park Golf Club,"Hillfoot, Bearsden, Glasgow",G61 2TJ,///folds.large.trail,"55.921504,-4.317076",,,,,,30,,,,,,,,
61,Downfield Golf Club,"Turnberry Ave,  Dundee",DD2 3QP,///risk.feels.battle,"56.489206,-3.027135",,,,,,30,,,,,,,,
62,Drumoig Golf Centre,"Forgan Dr, Drumoig, St Andrews",KY16 0DW,///beaten.robes.next,"56.417111,-2.914398",,,,,,30,,,,,,,,
63,Drumpellier Golf Club,"Drumpellier Ave, Coatbridge",ML5 1RX,///kicks.cafe.gains,"55.860433,-4.052071",,,,,,30,,,,,,,,
64,Duddingston Golf Club,"135 Duddingston Rd W, Duddingston, Edinburgh",EH15 3QE,///slips.change.pages,"55.937028,-3.135092",,,,,,30,,,,,,,,
65,Duff House Royal Golf Club,"The Barnyards, Banff",AB54 3SX,///binder.firelight.orders,"57.661101,-2.520229",,,,,,30,,,,,,,,
66,Dukes Course St Andrews,"Craigtoun Park, St Andrews",KY16 8NX,///amplified.careless.fluffed,"56.319925,-2.843616",,,,,,30,,,,,,,,
67,Dumbarnie Links,"Upper Largo, Fife",KY8 6JQ,///rigs.topical.grouping,"56.212767,-2.885065",,,,,,30,,,,,,,,
68,Dumfries & County Golf Club,"Edinburgh Rd, Dumfries",DG1 1JX,///reverted.sweetened.measure,"55.080544,-3.601907",,,,,,30,,,,,,,,
69,Dunbar Golf Club,"East Links, Dunbar",EH42 1LL,///spark.taxpayers.empire,"55.997669,-2.49959",,,71,,80-120,30,6548,,Links,,,Dunbar,East Lothian,Historic links with views of the stunning North Sea
70,Dunblane New Golf Club,"Perth Road, Dunblane",FK15 0LJ,///cornfield.winter.clotting,"56.186516,-3.961313",,,,,,30,,,,,,,,
71,Dundonald Links,"Ayr Rd, Troon, Irvine",KA11 5BF,///select.less.hope,"55.58394,-4.651752",,,,,,30,,,,,,,,
72,Dunes Golf Centre,"Philorth Links, Fraserburgh",AB43 8TL,///conned.satellite.socialite,"57.677218,-1.995939",,,,,,30,,,,,,,,
73,Dunfermline Golf Club,"Cairneyhill Rd, Crossford, Dunfermline",KY12 8QW,///banter.fluffed.fuzz,"56.058606,-3.505721",,,,,,30,,,,,,,,
74,Dunnikier Park Golf Club,"Dunnikier Country Park, Kirkcaldy",KY1 3LP,///region.divisible.trouser,"56.136333,-3.16161",,,,,,30,,,,,,,,
75,East Kilbride Golf Club,"Chapelside Rd, East Kilbride, Glasgow",G74 4PH,///ozone.freed.tuck,"55.783056,-4.161368",,,,,,30,,,,,,,,
76,East Renfrewshire Golf Club,"Pilmuir, Newton Mearns, Glasgow",G77 6RT,///makes.stale.beyond,"55.75349,-4.361167",,,71,,40-60,30,6400,,Parkland,,,Glasgow,Newton Mearns,"Ryder cup host in 2014, challenging and scenic"
77,Easter Moffat Golf Club,"Plains, Airdrie",ML6 8NP,///wide.calms.adjust,"55.872992,-3.921929",,,,,,30,,,,,,,,
78,Edzell Golf Club,"High St, Edzell, Brechin",DD9 7TF,///necks.tips.quilting,"56.805695,-2.654477",,,,,,30,,,,,,,,
79,Elderslie Golf Club,"63 Main Rd, Elderslie, Johnstone",PA5 9AZ,///tables.useful.device,"55.838252,-4.474217",,,,,,30,,,,,,,,
80,Elgin Golf Club,"Birnie Rd, Elgin",IV30 8SX,///film.cure.lame,"57.630269,-3.312097",,,,,,30,,,,,,,,
81,Elie Links,"Golf Club Ln, Elie and Earlsferry, Leven",KY9 1AS,///define.vegetable.notice,"56.191664,-2.829239",,,,,,30,,,,,,,,
82,Elmwood Golf Course,Cupar,KY15 5AD,///blip.succeed.pulp,"56.298229,-3.049616",,,,,,30,,,,,,,,
83,Erskine Golf Club,"Golf Rd, Bishopton",PA7 5PH,///objecting.funky.thumps,"55.916734,-4.504215",,,,,,30,,,,,,,,
84,Eyemouth Golf Club,"Gunsgreenhill, Eyemouth",TD14 5SF,///shielding.risk.tanked,"55.869057,-2.082685",,,,,,30,,,,,,,,
85,Fairmont St Andrews,St Andrews,KY16 8PN,///website.swimsuits.ushering,"56.320087,-2.730577",,,,,,30,,,,,,,,
86,Falkirk Tryst Golf Club,"86 Burnhead Rd, Larbert",FK5 4BD,///laser.trails.angry,"56.027719,-3.825063",,,,,,30,,,,,,,,
87,Fereneze Golf Club,"Fereneze Ave, Barrhead, Glasgow",G78 1HJ,///relate.super.hits,"55.804698,-4.40205",,,,,,30,,,,,,,,
88,Forrester Park Golf Resort,"Pitdinnie Rd, Cairneyhill, Dunfermline",KY12 8RF,///magazines.sadly.expel,"56.066098,-3.533338",,,,,,30,,,,,,,,
89,Fortrose & Rosemarkie G.C.,"Ness Rd E, Fortrose",IV10 8SE,///meaty.disputes.mainframe,"57.58235,-4.108891",,,,,,30,,,,,,,,
90,Gailes Golf & Leisure,"Marine Dr, Irvine ",KA11 5AE,///rarely.freed.lists,"55.593561,-4.657765",,,,,,30,,,,,,,,
91,Glasgow Golf Club,"Killermont Ave, Bearsden, Glasgow",G61 2TW,///bind.police.loft,"55.908298,-4.302324",,,,,,30,,,,,,,,
92,Gleddoch House Golf & Country Club,"Old Greenock Rd, Langbank, Port Glasgow",PA14 6YE,///weeps.cheaply.evolves,"55.918486,-4.584947",,,,,,30,,,,,,,,
93,Glen Golf Club,"East Links, Tantallon Rd, North Berwick",EH39 4LE,///crown.yachting.surveyed,"56.057258,-2.705074",,,,,,30,,,,,,,,
94,Glenbervie Golf Club,"Stirling Rd, Larbert",FK5 4SJ,///outer.warms.treat,"56.034403,-3.85231",,,,,,30,,,,,,,,
95,Glencorse Golf Club,"23 Edinburgh Rd, Milton Bridge, Penicuik",EH26 0RD,///atoms.skim.working,"55.849302,-3.200428",,,,,,30,,,,,,,,
96,Golf Dedication Centre,"Weelinks Golf, 1 Covesea Links, Lossiemouth",IV31 6SP,///composts.meatballs.revamped,"57.721364,-3.341288",,,,,,30,,,,,,,,
97,Gourock Golf Club,"Cowal View, Gourock",PA19 1HD,///overjoyed.apartment.partner,"55.95045,-4.83933",,,,,,30,,,,,,,,
98,Grangemouth Mun Golf Course,"Polmonthill Cottage, Avondale Rd, Polmont, Falkirk",FK2 0YA,///reef.pepper.swim,"55.996132,-3.687428",,,,,,30,,,,,,,,
99,Grantown-on-Spey Golf Club,"Golf Club House, Golf Course Rd, Grantown-on-Spey",PH26 3HY,///crunched.cans.plotting,"57.332484,-3.599296",,,,,,30,,,,,,,,
100,Great Western Golf,"2700 Great Western Rd, Glasgow",G81 2XT,///breed.august.skinny,"55.912233,-4.390565",,,,,,30,,,,,,,,
101,Gullane Golf Club,"6 W Links Rd, Gullane",EH31 2BB,///stammer.city.reshaping,"56.034295,-2.83683",,,,,,30,,,,,,,,
102,Haddington Golf Club,"Whittingham Drive, Haddington",EH41 4PT,///thatched.condensed.hails,"55.958967,-2.755232",,,,,,30,,,,,,,,
103,Haggs Castle Golf Club,"70 Dumbreck Rd, Bellahouston, Glasgow",G41 4SN,///flies.spark.looks,"55.839168,-4.309713",,,,,,30,,,,,,,,
104,Hamilton Golf Club,"Carlisle Rd, Ferniegair, Hamilton",ML3 7UE,///jukebox.loses.school,"55.761171,-4.007648",,,,,,30,,,,,,,,
105,Harburn Golf Club,"Harburn Ln, West Calder",EH55 8RS,///hooked.stroke.voter,"55.837336,-3.536789",,,,,,30,,,,,,,,
106,Hawick Golf Club,"Vertish Hill, Hawick",TD9 0NY,///feuds.lizards.recruited,"55.411883,-2.799957",,,,,,30,,,,,,,,
107,Hayston Golf Club,"Campsie Rd, Kirkintilloch, Glasgow",G66 1RN,///festivity.waving.noted,"55.943038,-4.174494",,,,,,30,,,,,,,,
108,Helensburgh Golf Club,"25 E Aberchromby St, Helensburgh",G84 9HZ,///pollution.used.punk,"56.011441,-4.7167",,,,,,30,,,,,,,,
109,Hilton Park Golf Club,"Auldmarroch Estate, Stockiemuir Rd, Milngavie, Glasgow",G62 7HB,///disposal.domain.placidly,"55.968346,-4.362293",,,,,,30,,,,,,,,
110,Hirsel Golf Club,"Kelso Rd, Coldstream",TD12 4NJ,///approve.adverbs.implanted,"55.650698,-2.26154",,,,,,30,,,,,,,,
111,Inchmarlo Golf Centre,"Inchmarlo, Banchory",AB31 4BQ,///condense.tripods.target,"57.059441,-2.528398",,,,,,30,,,,,,,,
112,Inverness Golf Club,"Culcabock Rd, Inverness",IV2 3XQ,///boats.chefs.struck,"57.473062,-4.202392",,,,,,30,,,,,,,,
113,Inverurie Golf Club,"Davah Wood, Blackhall Road, Inverurie","AB51 5JB ",///increases.elevated.goodbye,"57.281061,-2.396432",,,,,,30,,,,,,,,
114,Irvine Golf Club,"Bogside, Irvine",KA12 8SN,///destiny.torso.boot,"55.626469,-4.686043",,,,,,30,,,,,,,,
